Title,Genre,Console,Publisher,Total Sales (m),NA Sales (m),EU Sales (m),JP Sales (m),Other Sales (m),Release Month,Release Year
Minecraft: Story Mode - Season Two,Adventure,NS,Telltale Games,0.02,0.02,0.0,0.0,0.0,11,2018
Otometeki Koi Kakumei * Love Revo!! DS,Adventure,DS,GungHo,0.02,0.0,0.0,0.02,0.0,2,2008
Cross † Channel,Adventure,PSP,CyberFront,0.02,0.0,0.0,0.02,0.0,2,2010
Zero no Tsukaima: Muma ga Tsumugu Yokaze no Nocturne,Adventure,PS2,Marvelous Interactive,0.02,0.0,0.0,0.02,0.0,11,2007
Kiss Bell,Adventure,PSV,Giga,0.02,0.0,0.0,0.02,0.0,8,2014
Discworld II: Mortality Bytes!,Adventure,PS,Psygnosis,0.02,0.01,0.01,0.0,0.0,9,1997
Gun Gun Pixies,Adventure,PSV,Compile Heart,0.02,0.0,0.0,0.02,0.0,4,2017
Agatha Christie: Death on the Nile,Adventure,PC,DreamCatcher Interactive,0.02,0.0,0.01,0.0,0.0,10,2008
Moujuutsukai to Oujisama,Adventure,PS2,Idea Factory,0.02,0.0,0.0,0.02,0.0,6,2010
Yoake Yori Ruriiro na Portable,Adventure,PSP,Kadokawa Shoten,0.02,0.0,0.0,0.02,0.0,2,2010
Pippa Funnell: Ranch Rescue,Adventure,Wii,Ubisoft,0.02,0.0,0.02,0.0,0.0,11,2007
Kamaitachi no Yoru: Rinne Saisei,Adventure,PSV,5pb,0.02,0.0,0.0,0.02,0.0,2,2017
Otome Riron to Sono Shuuhen: Bon Voyage,Adventure,PSV,Dramatic Create,0.02,0.0,0.0,0.02,0.0,11,2016
Kimi ni Todoke: Sodateru Omoi,Adventure,DS,Banpresto,0.02,0.0,0.0,0.02,0.0,10,2009
Memories Off #5: Encore,Adventure,PS2,CyberFront,0.02,0.0,0.0,0.02,0.0,7,2007
The Great Ace Attorney 1 & 2 Special Edition,Adventure,3DS,Capcom,0.02,0.0,0.0,0.02,0.0,8,2017
Tsuyo Kiss 2 Gakki: Swift Love,Adventure,PS2,Revolution (Japan),0.02,0.0,0.0,0.02,0.0,7,2009
The Book of Unwritten Tales 2,Adventure,WiiU,Nordic Games,0.02,0.0,0.02,0.0,0.0,2,2016
Grisaia no Meikyuu: Le Labyrinthe de la Grisaia,Adventure,PSV,Prototype,0.02,0.0,0.0,0.02,0.0,10,2014
Sarah: Keeper of the Unicorn,Adventure,DS,DreamCatcher Interactive,0.02,0.01,0.0,0.0,0.0,8,2009
W.L.O. Sekai Renai Kikousen,Adventure,X360,5pb,0.02,0.0,0.0,0.02,0.0,6,2010
Hiiro no Kakera: Omoi Iro no Kioku,Adventure,PSV,Idea Factory,0.02,0.0,0.0,0.02,0.0,7,2017
Nil Admirari no Tenbin: Kuroyuri En'youtan,Adventure,PSV,Idea Factory,0.02,0.0,0.0,0.02,0.0,9,2017
Shinkyoku Soukai Polyphonica,Adventure,PS2,Prototype,0.02,0.0,0.0,0.02,0.0,4,2007
Full House Kiss 2,Adventure,PS2,Capcom,0.02,0.0,0.0,0.02,0.0,2,2006
Sengoku Hime: Senran ni Mau Otometachi,Adventure,PS2,Yeti,0.02,0.0,0.0,0.02,0.0,11,2009
Sora no Otoshimono Forte: Dreamy Season,Adventure,DS,Kadokawa Shoten,0.02,0.0,0.0,0.02,0.0,1,2011
Hiiro no Kakera Portable,Adventure,PSP,Idea Factory,0.02,0.0,0.0,0.02,0.0,12,2008
Marginal #4: Idol of Supernova,Adventure,PSV,Idea Factory,0.02,0.0,0.0,0.02,0.0,11,2014
"Nogizaka Haruka no Himitsu Cosplay, Hajime Mashita",Adventure,PS2,ASCII Media Works,0.02,0.0,0.0,0.02,0.0,9,2008
Rewrite,Adventure,PSV,Prototype,0.02,0.0,0.0,0.02,0.0,8,2014
Night Wizard the Video Game: Denial of the World,Adventure,PS2,5pb,0.02,0.0,0.0,0.02,0.0,2,2008
Hitotsu Tobashi Renai V,Adventure,PSV,Kaga Create,0.02,0.0,0.0,0.02,0.0,1,2015
Shin Hisui no Shizuku: Hiiro no Kakera 2 Portable,Adventure,PSP,Idea Factory,0.02,0.0,0.0,0.02,0.0,8,2010
Moe Moe 2-ji Taisen (Ryoku) * Deluxe,Adventure,PSP,System Soft,0.02,0.0,0.0,0.02,0.0,11,2008
A Vampyre Story,Adventure,PC,The Adventure Company,0.02,0.0,0.01,0.0,0.0,12,2008
Enkaku Sousa: Sana e no 23 Hiai,Adventure,PSP,Sony Computer Entertainment,0.02,0.0,0.0,0.02,0.0,2,2009
Syberia II,Adventure,PC,The Adventure Company,0.02,0.0,0.01,0.0,0.0,3,2004
Post Mortem,Adventure,PC,The Adventure Company,0.02,0.0,0.01,0.0,0.0,2,2003
Accel World: Kasoku no Chouten,Adventure,PS3,Namco Bandai Games,0.02,0.0,0.0,0.02,0.0,1,2013
Harukanaru Toki no Naka de 6: Gentou Rondo,Adventure,PSV,Tecmo Koei,0.02,0.0,0.0,0.02,0.0,12,2016
Narcissus: Moshimo Ashita ga Runara,Adventure,PSP,Kadokawa Shoten,0.02,0.0,0.0,0.02,0.0,6,2010
Simple DS Series Vol. 42: The Haioku Byoutou,Adventure,DS,D3 Publisher,0.02,0.0,0.0,0.02,0.0,7,2008
So-Ra-No-Wo-To: Otome no Gojuusou,Adventure,PSP,Compile Heart,0.02,0.0,0.0,0.02,0.0,5,2010
Hanayamata: Yosakoi Live,Adventure,PSV,Namco Bandai Games,0.02,0.0,0.0,0.02,0.0,11,2014
Memories Off 6: Next Relation,Adventure,PS2,5pb,0.02,0.0,0.0,0.02,0.0,8,2009
Scared Rider Xechs,Adventure,PS2,RED Entertainment,0.02,0.0,0.0,0.02,0.0,7,2010
Misshitsu no Sacrifice,Adventure,PSP,D3 Publisher,0.02,0.0,0.0,0.02,0.0,2,2010
Ouran Koukou Host Bu,Adventure,PS2,Idea Factory,0.02,0.0,0.0,0.02,0.0,4,2007
Grisaia no Kajitsu: Side Episode,Adventure,PSV,Prototype,0.02,0.0,0.0,0.02,0.0,7,2017
Sora no Otoshimono: DokiDoki Summer Vacation,Adventure,PSP,Kadokawa Shoten,0.01,0.0,0.0,0.01,0.0,3,2010
S.Y.K: Shinsetsu Saiyuuki,Adventure,PS2,Idea Factory,0.01,0.0,0.0,0.01,0.0,8,2009
Wand of Fortune: Mirai e no Prologue Portable,Adventure,PSP,Idea Factory,0.01,0.0,0.0,0.01,0.0,12,2010
Secret Game Portable,Adventure,PSP,Yeti,0.01,0.0,0.0,0.01,0.0,5,2010
Sengoku Hime: Senran ni Mau Otometachi,Adventure,PSP,Yeti,0.01,0.0,0.0,0.01,0.0,11,2009
Wand of Fortune Portable,Adventure,PSP,Idea Factory,0.01,0.0,0.0,0.01,0.0,6,2010
Kurogane Kaikitan,Adventure,PSV,Minato Station,0.01,0.0,0.0,0.01,0.0,1,2015
Hana Oboro: Sengoku Denranki,Adventure,PSV,Idea Factory,0.01,0.0,0.0,0.01,0.0,1,2017
Himawari: Pebble in the Sky Portable,Adventure,PSP,Kadokawa Shoten,0.01,0.0,0.0,0.01,0.0,4,2010
Katekyoo Hitman Reborn Nerae!? Ring x Bongole Returns,Adventure,PS2,Marvelous Interactive,0.01,0.0,0.0,0.01,0.0,8,2008
Kono Aozora ni Yakusoku o: Tenohira no Rakuen,Adventure,PSP,TGL,0.01,0.0,0.0,0.01,0.0,6,2009
GunParade Orchestra: Ao no Shou,Adventure,PS2,Sony Computer Entertainment,0.01,0.0,0.0,0.01,0.0,7,2006
Kenka Bancho Otome: Kanzenmuketsu no My Honey,Adventure,PSV,Spike Chunsoft,0.01,0.0,0.0,0.01,0.0,7,2017
Instant Brain,Adventure,X360,Cave,0.01,0.0,0.0,0.01,0.0,11,2011
Coronation Street: The Mystery of the Missing Hotpot Recipe,Adventure,PC,Avanquest,0.01,0.0,0.01,0.0,0.0,7,2011
Summer Lesson: Miyamoto Hikari Collection,Adventure,PS4,Namco Bandai Games,0.01,0.0,0.0,0.01,0.0,5,2017
SoulLink Extension,Adventure,PS2,Interchannel,0.01,0.0,0.0,0.01,0.0,6,2006
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,Adventure,XB,Activision,0.01,0.01,0.0,0.0,0.0,11,2005
Myst,Adventure,PSP,Midway Games,0.01,0.0,0.01,0.0,0.0,10,2006
Flipping Death,Adventure,NS,Rising Star,0.01,0.01,0.0,0.0,0.0,10,2018
Sakura Sakura: Haru Urara,Adventure,PSP,GN Software,0.01,0.0,0.0,0.01,0.0,8,2010
Uta no * Prince-Sama: Sweet Serenade,Adventure,PSP,Broccoli,0.01,0.0,0.0,0.01,0.0,2,2011
New Game! The Challenge Stage!,Adventure,PS4,5pb,0.01,0.0,0.0,0.01,0.0,1,2017
Hiiro no Kakera: Shin Tamayori Hime Denshou,Adventure,PS2,Idea Factory,0.01,0.0,0.0,0.01,0.0,10,2009
"Iza, Shutsujin! Koisen",Adventure,PSP,Quinrose,0.01,0.0,0.0,0.01,0.0,5,2011
Datenshi no Amai Yuuwaku x Kaikan Phrase,Adventure,DS,FuRyu Corporation,0.01,0.0,0.0,0.01,0.0,2,2010
Bakumatsu Koihana: Shinsengumi DS,Adventure,DS,D3 Publisher,0.01,0.0,0.0,0.01,0.0,11,2008
Kana: Imouto,Adventure,PSP,CyberFront,0.01,0.0,0.0,0.01,0.0,10,2010
Binary Star,Adventure,PSV,Idea Factory,0.01,0.0,0.0,0.01,0.0,9,2014
Last Escort: Club Katze,Adventure,PS2,D3 Publisher,0.01,0.0,0.0,0.01,0.0,2,2010
Tears to Tiara: Kakan no Daichi Portable,Adventure,PSP,Aquaplus,0.01,0.0,0.0,0.01,0.0,11,2010
Black Wolves Saga: Weiss und Schwarz,Adventure,PSV,Idea Factory,0.01,0.0,0.0,0.01,0.0,1,2017
Tantei Jinguuji Saburo DS: Fuserareta Shinjitsu,Adventure,DS,Arc System Works,0.01,0.0,0.0,0.01,0.0,3,2009
Ostwind/Windstorm,Adventure,PC,EuroVideo Medien,0.01,0.0,0.01,0.0,0.0,7,2017
Dr. Slump & Arale-Chan,Adventure,DS,Namco Bandai,0.01,0.0,0.0,0.01,0.0,10,2008
Umineko no Naku Koro ni Portable 1,Adventure,PSP,Alchemist,0.01,0.0,0.0,0.01,0.0,10,2011
Festa!! Hyper Girls Party,Adventure,PS2,KID,0.01,0.0,0.0,0.01,0.0,6,2006
World Election,Adventure,PSV,Piacci,0.01,0.0,0.0,0.01,0.0,7,2017
Kiniro no Corda 3,Adventure,3DS,Tecmo Koei,0.01,0.0,0.0,0.01,0.0,2,2015
Accel World: Kasoku no Chouten,Adventure,PSP,Namco Bandai Games,0.01,0.0,0.0,0.01,0.0,1,2013
Izumo 2,Adventure,PS2,GN Software,0.01,0.0,0.0,0.01,0.0,4,2006
Curse of the Amsterdam Diamond,Adventure,DS,Easy Interactive,0.01,0.0,0.01,0.0,0.0,3,2012
PC Engine Best Collention: Ginga Ojousama Densetsu Collection,Adventure,PSP,Hudson Soft,0.01,0.0,0.0,0.01,0.0,7,2008
Rosario to Vampire: Tanabata no Miss Youkai Gakuen,Adventure,DS,Capcom,0.01,0.0,0.0,0.01,0.0,3,2008
Captain Morgane and the Golden Turtle,Adventure,Wii,Reef Entertainment,0.01,0.0,0.01,0.0,0.0,2,2012
Wallace & Gromit: Curse of the Were-Rabbit,Adventure,XB,Konami,0.01,0.01,0.0,0.0,0.0,9,2005
Marginal 4: Road to Galaxy,Adventure,PSV,Idea Factory,0.01,0.0,0.0,0.01,0.0,5,2017
Tantei Jinguuji Saburo: Hai to Diamond,Adventure,PSP,Arc System Works,0.01,0.0,0.0,0.01,0.0,9,2009
The Town of Light,Adventure,XOne,THQ Nordic,0.01,0.01,0.0,0.0,0.0,3,2017
Duel Love: Koisuru Otome wa Shouri no Megami,Adventure,DS,Namco Bandai,0.01,0.0,0.0,0.01,0.0,3,2008
Aa Megami-samaa,Adventure,PS2,Marvelous Interactive,0.01,0.0,0.0,0.01,0.0,2,2007
Tomoyo After: It's a Wonderful Life CS Edition,Adventure,PS2,Prototype,0.01,0.0,0.0,0.01,0.0,1,2007
Occultic;Nine,Adventure,PSV,5pb,0.01,0.0,0.0,0.01,0.0,11,2017
Harry Potter and the Chamber of Secrets,Adventure,PC,Electronic Arts,0.01,0.0,0.01,0.0,0.0,11,2002
Jake Hunter Detective Story: Prism of Eyes,Adventure,PS4,Arc System Works,0.01,0.0,0.0,0.01,0.0,8,2018
Soshite Kono Uchuu ni Kirameku Kimi no Shi XXX,Adventure,PS2,Datam Polystar,0.01,0.0,0.0,0.01,0.0,2,2007
Zero no Tsukaima: Maigo no Period to Ikusen no Symphony,Adventure,PS2,Marvelous Interactive,0.01,0.0,0.0,0.01,0.0,11,2008
Nora to Koujo to Noraneko Heart,Adventure,PSV,Harukaze,0.01,0.0,0.0,0.01,0.0,9,2017
Hiiro no Kakera: Shin Tamayori Hime Denshou Portable,Adventure,PSP,Idea Factory,0.01,0.0,0.0,0.01,0.0,9,2010
Small Town Terrors - Galdor's Bluff,Adventure,PC,GSP,0.01,0.0,0.01,0.0,0.0,5,2016
No Fate! Only the Power of Will,Adventure,X360,Alchemist,0.01,0.0,0.0,0.01,0.0,2,2010
Mystery Legends: Beauty and the Beast,Adventure,PC,Focus Multimedia,0.01,0.0,0.01,0.0,0.0,3,2012
"Hanayaka Kana, Ware ga Ichizoku",Adventure,PSP,Idea Factory,0.01,0.0,0.0,0.01,0.0,7,2010
Myself; Yourself,Adventure,PS2,Yeti,0.01,0.0,0.0,0.01,0.0,12,2007
Starry Sky: Spring Stories,Adventure,PSV,honeybee,0.01,0.0,0.0,0.01,0.0,11,2016
To Heart Portable,Adventure,PSP,Aquaplus,0.01,0.0,0.0,0.01,0.0,10,2011
Kono Aozora ni Yakusoku o: Melody of the Sun and Sea,Adventure,PS2,Alchemist,0.01,0.0,0.0,0.01,0.0,5,2007
Kamaitachi no Yoru 2: Tokubetsu Hen,Adventure,PSP,ChunSoft,0.01,0.0,0.0,0.01,0.0,5,2006
ef - a fairy tale of the two.,Adventure,PS2,Comfort,0.01,0.0,0.0,0.01,0.0,4,2010
FairlyLife: MiracleDays,Adventure,PSP,Piacci,0.01,0.0,0.0,0.01,0.0,2,2010
Death Connection Portable,Adventure,PSP,Idea Factory,0.01,0.0,0.0,0.01,0.0,2,2011
Moe Moe 2-Ji Daisenryaku 2,Adventure,PSP,System Soft,0.01,0.0,0.0,0.01,0.0,2,2010
"Kono Oozora ni, Tsubasa o Hirogete: Cruise Sign",Adventure,PSV,5pb,0.01,0.0,0.0,0.01,0.0,3,2016
Real Crimes: The Unicorn Killer,Adventure,DS,Unknown,0.01,0.0,0.01,0.0,0.0,11,2011
Really? Really! DS,Adventure,DS,Kadokawa Shoten,0.01,0.0,0.0,0.01,0.0,6,2009
Touch Detective 3: Does Funghi Dream of Bananas?,Adventure,3DS,Success,0.01,0.0,0.0,0.01,0.0,5,2014
Apollo Justice: Ace Attorney,Adventure,3DS,Capcom,0.01,0.0,0.0,0.01,0.0,11,2017
Shinseiki Evangelion: Koutetsu no Girlfriend Tokubetsu-Hen Portable,Adventure,PSP,CyberFront,0.01,0.0,0.0,0.01,0.0,4,2009
Fullmetal Alchemist: Prince of the Dawn,Adventure,Wii,Square Enix,0.01,0.0,0.0,0.01,0.0,8,2009
H2O+: Footprints in the Sand,Adventure,PS2,Kadokawa Shoten,0.01,0.0,0.0,0.01,0.0,4,2008
Sekirei: Mirai Kara no Okurimono,Adventure,PS2,Alchemist,0.01,0.0,0.0,0.01,0.0,10,2009
Ishin Renka: Ryouma Gaiden,Adventure,PSP,D3 Publisher,0.01,0.0,0.0,0.01,0.0,11,2010
Hakuoki: Stories of the Shinsengumi,Adventure,PS3,Aksys Games,0.01,0.01,0.0,0.0,0.0,5,2014
Hanasaku Manimani,Adventure,PSV,5pb,0.01,0.0,0.0,0.01,0.0,9,2014
Wand of Fortune,Adventure,PS2,Idea Factory,0.01,0.0,0.0,0.01,0.0,6,2009
S.Y.K: Shinsetsu Saiyuuki Portable,Adventure,PSP,Idea Factory,0.01,0.0,0.0,0.01,0.0,7,2010
Occultic;Nine,Adventure,PS4,5pb,0.01,0.0,0.0,0.01,0.0,11,2017
Cake-ya San Monogatari: Ooishii Sweets o Tsukurou!,Adventure,3DS,Nippon Columbia,0.01,0.0,0.0,0.01,0.0,11,2017
Darkened Skye,Adventure,GC,Simon & Schuster Interactive,0.01,0.01,0.0,0.0,0.0,11,2002
Wand of Fortune: Mirai e no Prologue,Adventure,PS2,Idea Factory,0.01,0.0,0.0,0.01,0.0,2,2010
Heart no Kuni no Alice,Adventure,PSP,Prototype,0.01,0.0,0.0,0.01,0.0,8,2009
Memories Off,Adventure,PSP,5pb,0.01,0.0,0.0,0.01,0.0,5,2008
Vitamin X,Adventure,PS2,D3 Publisher,0.01,0.0,0.0,0.01,0.0,3,2007
Time Leap,Adventure,X360,Prototype,0.01,0.0,0.0,0.01,0.0,6,2009
"Shinobi, Koi Utsutsu: Kanmitsu Hana Emaki",Adventure,PSV,Idea Factory,0.01,0.0,0.0,0.01,0.0,9,2017
Routes PE,Adventure,PS2,Aquaplus,0.01,0.0,0.0,0.01,0.0,1,2007
Uchida Yasuou Mystery: Meitantei Senken Mitsuhiko Series: Fukutoshin Renzoku Satsujin Jiken,Adventure,DS,D3 Publisher,0.01,0.0,0.0,0.01,0.0,2,2009
Kono Subarashii Sekai ni Shukufuku o! Kono Yokubukai Game ni Shinpan o!,Adventure,PS4,5pb,0.01,0.0,0.0,0.01,0.0,9,2017
Gobliiins 4,Adventure,PC,Kalypso,0.01,0.0,0.01,0.0,0.0,4,2009
Shinseiki Evangelion: Koutetsu no Girlfriend 2nd Portable,Adventure,PSP,CyberFront,0.01,0.0,0.0,0.01,0.0,6,2009
Tenjin Ranman: Happy GO Lucky!!,Adventure,PSP,Russel,0.01,0.0,0.0,0.01,0.0,3,2010
"Element Girl: Love, Fashion and Friends",Adventure,DS,DTP Entertainment,0.01,0.0,0.01,0.0,0.0,11,2008
Flowers,Adventure,PSV,Prototype,0.01,0.0,0.0,0.01,0.0,10,2014
Jake Hunter Detective Story: Prism of Eyes,Adventure,NS,Arc System Works,0.01,0.0,0.0,0.01,0.0,8,2018
Junjou Romanchika: Koi no Doki Doki Daisakusen,Adventure,PS2,Marvelous Interactive,0.01,0.0,0.0,0.01,0.0,11,2008
Heart no Kuni no Alice,Adventure,PS2,Prototype,0.01,0.0,0.0,0.01,0.0,9,2008
Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. & Zoku: Oatome Set,Adventure,PS4,5pb,0.01,0.0,0.0,0.01,0.0,10,2017
Alone in the Dark (2008),Adventure,PC,Atari,0.01,0.0,0.01,0.0,0.0,6,2008
Vitamin Y,Adventure,DS,D3 Publisher,0.01,0.0,0.0,0.01,0.0,10,2008
Memories Off #5: Togireta Film,Adventure,PSP,5pb,0.01,0.0,0.0,0.01,0.0,1,2009
Lucian Bee's: Resurrection Supernova,Adventure,PS2,5pb,0.01,0.0,0.0,0.01,0.0,7,2009
Ken ga Kimi: Momoyo Tsuzuri,Adventure,PSV,Rejet,0.01,0.0,0.0,0.01,0.0,12,2016
Captain Rainbow,Adventure,Wii,Nintendo,0.01,0.0,0.0,0.01,0.0,8,2008
Re:Zero - Kara Hajimeru Isekai Seikatsu - Death or Kiss,Adventure,PS4,5pb,0.01,0.0,0.0,0.01,0.0,3,2017
Taishou Mebiusline: Teito Bibouroku Hare,Adventure,PSV,Dramatic Create,0.01,0.0,0.0,0.01,0.0,8,2017
"Tsumigui: Sen no Noroi, Sen no Inori for V",Adventure,PSV,Dramatic Create,0.01,0.0,0.0,0.01,0.0,6,2017
Case Closed: One Truth Prevails,Adventure,Wii,Nobilis,0.01,0.0,0.0,0.01,0.0,1,2009
Wagamama High Spec,Adventure,PSV,iMel,0.01,0.0,0.0,0.01,0.0,7,2017
Naraku no Shiro,Adventure,PS2,Nippon Ichi Software,0.01,0.0,0.0,0.01,0.0,3,2008
Shinigami to Shoujo,Adventure,PSP,Takuyo,0.01,0.0,0.0,0.01,0.0,7,2011
Mystereet,Adventure,PS2,Yeti,0.01,0.0,0.0,0.01,0.0,5,2006
Utsusemi no Mawari,Adventure,PSV,Matatabi,0.01,0.0,0.0,0.01,0.0,7,2017
Love of Renai Koutei of Love!,Adventure,PSV,Entergram,0.01,0.0,0.0,0.01,0.0,5,2017
Legacy of Kain: Defiance,Adventure,PC,Eidos Interactive,0.01,0.0,0.01,0.0,0.0,12,2003
Shirogane no Soleil: Contract to the Future - Mirai e no Keiyaku,Adventure,PS2,Russel,0.01,0.0,0.0,0.01,0.0,10,2008
Hoshizora no Comic Garden,Adventure,DS,D3 Publisher,0.01,0.0,0.0,0.01,0.0,9,2008
Time Travelers,Adventure,PSP,Level 5,0.01,0.0,0.0,0.01,0.0,7,2012
Hatsuyuki Sakura,Adventure,PSV,Entergram,0.01,0.0,0.0,0.01,0.0,3,2017
Sweet Honey Coming,Adventure,PS2,Kadokawa Shoten,0.01,0.0,0.0,0.01,0.0,9,2009
Psychic Detective,Adventure,PS,Electronic Arts,0.01,0.01,0.0,0.0,0.0,11,1995
Sugar + Spice! Anoko no Suteki na Nanimokamo,Adventure,PS2,Alchemist,0.01,0.0,0.0,0.01,0.0,9,2008
Kanokon: Esuii,Adventure,PS2,5pb,0.01,0.0,0.0,0.01,0.0,7,2008
Agatha Christie: Peril at End House,Adventure,PC,DreamCatcher Interactive,0.01,0.0,0.01,0.0,0.0,7,2009
Scarlett: Nichijou no Kyoukaisen,Adventure,PS2,Kadokawa Shoten,0.01,0.0,0.0,0.01,0.0,10,2008
Neo Angelique Special,Adventure,PSP,KOEI,0.01,0.0,0.0,0.01,0.0,9,2008
Real Rode,Adventure,PS2,Kadokawa Shoten,0.01,0.0,0.0,0.01,0.0,12,2008
15 Days,Adventure,PC,DTP Entertainment,0.01,0.0,0.01,0.0,0.0,11,2009
Muv-luv Photonmelodies,Adventure,PS3,5pb,0.01,0.0,0.0,0.01,0.0,8,2014
Garnet Cradle Portable: Kagi no Himiko,Adventure,PSP,Idea Factory,0.01,0.0,0.0,0.01,0.0,4,2011
Pia Carrot e Youkoso!! G.P. Gakuen Princess,Adventure,PS2,GN Software,0.01,0.0,0.0,0.01,0.0,1,2009
Myst IV: Revelation,Adventure,PC,Ubisoft,0.01,0.01,0.0,0.0,0.0,9,2004
Hayarigami 3: Keishichou Kaii Jiken File,Adventure,PSP,Nippon Ichi Software,0.01,0.0,0.0,0.01,0.0,8,2009
Canvas 3: Nanairo no Kiseki,Adventure,PSP,GN Software,0.01,0.0,0.0,0.01,0.0,4,2010
Mermaid Gothic,Adventure,PSP,Quinrose,0.01,0.0,0.0,0.01,0.0,11,2014
"Asaki, Yumemishi",Adventure,PSP,Quinrose,0.01,0.0,0.0,0.01,0.0,4,2011
Kamiyo Gakuen Makorouku Kurunugia,Adventure,PS2,Idea Factory,0.01,0.0,0.0,0.01,0.0,10,2008
Satomi Hakkenden: Hamaji Himenoki,Adventure,PSP,Quinrose,0.01,0.0,0.0,0.01,0.0,9,2014
Gakuen Alice: KiraKira * Memory Kiss,Adventure,PS2,Kids Station,0.01,0.0,0.0,0.01,0.0,6,2006
Satomi Hakkenden: Murasame Marunoki,Adventure,PSP,Quinrose,0.01,0.0,0.0,0.01,0.0,1,2015
Sea Monsters: A Prehistoric Adventure,Adventure,DS,DSI Games,0.01,0.01,0.0,0.0,0.0,1,2008
Yuuzai x Muzai,Adventure,DS,Namco Bandai,0.01,0.0,0.0,0.01,0.0,5,2009
Witch's Wish,Adventure,DS,Natsume,0.01,0.0,0.0,0.01,0.0,5,2010
CSI: Hard Evidence,Adventure,PC,Ubisoft,0.01,0.0,0.01,0.0,0.0,9,2007
Hoshizora * Planet: One Small Step For...,Adventure,PSP,CyberFront,0.01,0.0,0.0,0.01,0.0,3,2011
Shuumatsu Otome Gensou Alicematic Apocalypse,Adventure,PS2,Russel,0.01,0.0,0.0,0.01,0.0,5,2008
D.C. Girl's Symphony Pocket,Adventure,PSP,Idea Factory,0.01,0.0,0.0,0.01,0.0,6,2010
Grisaia no Rakuen: Le Eden de la Grisaia,Adventure,PSP,Prototype,0.01,0.0,0.0,0.01,0.0,12,2014
Urakata Hakuouki: Akatsuki no Shirabe,Adventure,PSP,Idea Factory,0.01,0.0,0.0,0.01,0.0,8,2014
Memories Off 6: T-Wave,Adventure,PSP,5pb,0.01,0.0,0.0,0.01,0.0,5,2009
Side Kicks!,Adventure,PSV,Nippon Ichi Software,0.01,0.0,0.0,0.01,0.0,3,2017
Bamboo Blade: Sorekara no Chousen,Adventure,PSP,Gadget Soft,0.01,0.0,0.0,0.01,0.0,5,2009
No Fate! Only the Power of Will,Adventure,PSP,Alchemist,0.01,0.0,0.0,0.01,0.0,2,2010
Memories Off 2nd,Adventure,PSP,5pb,0.01,0.0,0.0,0.01,0.0,5,2008
RepKiss,Adventure,PSV,Entergram,0.01,0.0,0.0,0.01,0.0,4,2017
Sherlock Holmes vs. Jack the Ripper,Adventure,PC,Focus Home Interactive,0.01,0.0,0.01,0.0,0.0,5,2009
Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,Adventure,PC,Activision,0.01,0.0,0.01,0.0,0.0,10,2009
Arabians Lost: The Engagement on Desert,Adventure,DS,Prototype,0.01,0.0,0.0,0.01,0.0,9,2009
Little Anchor,Adventure,PS2,D3 Publisher,0.01,0.0,0.0,0.01,0.0,4,2009
Puffins: Island Adventure,Adventure,DS,Majesco,0.01,0.01,0.0,0.0,0.0,5,2009
Dear Girl: Stories Hibiki - Hibiki Tokkun Daisakusen!,Adventure,DS,ASCII Media Works,0.01,0.0,0.0,0.01,0.0,12,2009
Mitsu x Mitsu Drops: Love x Love Honey Life,Adventure,PS2,Idea Factory,0.01,0.0,0.0,0.01,0.0,4,2006
Majin Tantei Nougami Neuro: Neuro to Miko no Bishoku Sanmai,Adventure,DS,Marvelous Interactive,0.01,0.0,0.0,0.01,0.0,6,2008
Tayutama: Kiss on my Deity,Adventure,X360,5pb,0.01,0.0,0.0,0.01,0.0,11,2009
Teikoku Kaleido: Kakumei no Rondo,Adventure,PSV,Dramatic Create,0.01,0.0,0.0,0.01,0.0,9,2017
Fata Morgana no Kan: Collected Edition,Adventure,PSV,Dramatic Create,0.01,0.0,0.0,0.01,0.0,3,2017
Vampire Saga: Welcome to Hell Lock,Adventure,PC,Alawar Entertainment,0.01,0.0,0.01,0.0,0.0,7,2011
Fortissimo,Adventure,PSV,Otomate Idea Factory,0.01,0.0,0.0,0.01,0.0,3,2018
Fushigi Yuugi: Suzaku Ibun,Adventure,PS2,Idea Factory,0.01,0.0,0.0,0.01,0.0,5,2008
Chouchou Jiken Rhapsodic,Adventure,PSV,Idea Factory,0.01,0.0,0.0,0.01,0.0,11,2017
Edel Blume,Adventure,PS2,Idea Factory,0.01,0.0,0.0,0.01,0.0,4,2008
Soukai Buccaneers,Adventure,PSV,Unknown,0.01,0.0,0.0,0.01,0.0,7,2014
Captain Earth: Mind Labyrinth,Adventure,PSV,Namco Bandai Games,0.01,0.0,0.0,0.01,0.0,2,2015
Beyond the Legend - Mysteries of Olympus,Adventure,PC,GSP,0.01,0.0,0.01,0.0,0.0,5,2016
Clear: Atarashii Kaze no Fuku Oka de,Adventure,PS2,Sweets,0.01,0.0,0.0,0.01,0.0,2,2009
NUGA-CEL!,Adventure,PS2,Idea Factory,0.01,0.0,0.0,0.01,0.0,7,2009
Canvas 3: Tanshoku no Pastel,Adventure,PS2,GN Software,0.01,0.0,0.0,0.01,0.0,9,2009
DS Dengeki Bunko ADV: Baccano!,Adventure,DS,Media Works,0.01,0.0,0.0,0.01,0.0,2,2008
