Title,Genre,Console,Publisher,Total Sales (m),NA Sales (m),EU Sales (m),JP Sales (m),Other Sales (m),Release Month,Release Year
Tomb Raider II,Adventure,PS,Eidos Interactive,5.24,2.3,2.46,0.2,0.28,10,1997
LEGO Indiana Jones: The Original Adventures,Adventure,X360,LucasArts,3.76,2.4,1.01,0.0,0.36,6,2008
Tomb Raider III: Adventures of Lara Croft,Adventure,PS,Eidos Interactive,3.54,1.66,1.58,0.12,0.18,11,1998
LEGO Batman: The Videogame,Adventure,X360,Warner Bros. Interactive,3.44,2.07,1.04,0.0,0.34,9,2008
L.A. Noire,Adventure,PS3,Rockstar Games,3.21,1.29,1.31,0.12,0.49,11,2011
Club Penguin: Elite Penguin Force,Adventure,DS,Disney Interactive Studios,3.14,1.87,0.97,0.0,0.3,11,2008
LEGO Batman: The Videogame,Adventure,Wii,Warner Bros. Interactive,3.08,1.8,0.98,0.0,0.29,9,2008
LEGO Batman: The Videogame,Adventure,DS,Warner Bros. Interactive,3.06,1.75,1.02,0.0,0.29,9,2008
L.A. Noire,Adventure,X360,Rockstar Games,2.73,1.55,0.92,0.02,0.24,11,2011
Harry Potter and the Chamber of Secrets,Adventure,PS2,Electronic Arts,2.61,0.9,1.22,0.04,0.44,11,2002
Grand Theft Auto: Episodes from Liberty City,Adventure,X360,Rockstar Games,2.6,1.08,1.22,0.03,0.27,10,2009
LEGO Harry Potter: Years 1-4,Adventure,Wii,Warner Bros. Interactive,2.45,1.29,0.94,0.0,0.22,6,2010
Frogger's Adventures: Temple of the Frog,Adventure,GBA,Konami,2.39,2.15,0.18,0.0,0.07,10,2001
LEGO Indiana Jones: The Original Adventures,Adventure,Wii,LucasArts,2.35,1.51,0.62,0.0,0.22,6,2008
LEGO Harry Potter: Years 1-4,Adventure,DS,Warner Bros. Interactive,2.29,1.07,1.0,0.0,0.22,6,2010
Tomb Raider II,Adventure,PC,Eidos Interactive,2.29,0.91,1.25,0.0,0.13,10,1997
Prince of Persia: The Sands of Time,Adventure,PS2,Ubisoft,2.22,0.88,1.03,0.0,0.31,11,2003
LEGO Indiana Jones: The Original Adventures,Adventure,DS,LucasArts,2.2,1.4,0.6,0.0,0.21,6,2008
Grand Theft Auto: Episodes from Liberty City,Adventure,PS3,Rockstar Games,2.09,0.62,0.99,0.13,0.34,4,2010
Rise of the Tomb Raider,Adventure,PS4,Square Enix,2.07,0.61,1.08,0.05,0.32,10,2016
Harry Potter and the Chamber of Secrets,Adventure,GBA,Electronic Arts,1.99,1.21,0.64,0.05,0.09,11,2002
Harry Potter and the Chamber of Secrets,Adventure,PS,Electronic Arts,1.98,0.75,1.09,0.02,0.12,11,2002
Scooby Doo and the Cyber Chase,Adventure,PS,THQ,1.94,0.59,1.23,0.0,0.13,10,2001
The Legend of Zelda: Oracle of Ages,Adventure,GBC,Nintendo,1.92,0.92,0.53,0.41,0.06,5,2001
The Legend of Zelda: Oracle of Seasons,Adventure,GBC,Nintendo,1.86,0.87,0.52,0.41,0.06,5,2001
Star Wars Episode I: The Phantom Menace,Adventure,PS,LucasArts,1.74,0.72,0.89,0.04,0.1,8,1999
"Monsters, Inc.",Adventure,GBA,THQ,1.67,0.59,0.95,0.03,0.1,10,2001
Prince of Persia: Warrior Within,Adventure,PS2,Ubisoft,1.64,0.54,0.88,0.0,0.22,11,2004
SpongeBob's Atlantis SquarePantis,Adventure,DS,THQ,1.61,1.49,0.0,0.0,0.11,10,2007
LEGO Harry Potter: Years 1-4,Adventure,X360,Warner Bros. Interactive,1.59,0.95,0.5,0.0,0.14,6,2010
Disney Fairies: Tinker Bell,Adventure,DS,Disney Interactive Studios,1.52,0.85,0.51,0.01,0.15,10,2008
Bratz: Forever Diamondz,Adventure,DS,THQ,1.48,0.43,0.88,0.0,0.18,9,2006
Drawn To Life: SpongeBob SquarePants Edition,Adventure,DS,THQ,1.48,0.99,0.35,0.0,0.14,9,2008
Assassin's Creed III: Liberation,Adventure,PSV,Ubisoft,1.48,0.53,0.57,0.06,0.32,10,2012
Disney Princess: Magical Jewels,Adventure,DS,Disney Interactive Studios,1.44,1.12,0.2,0.0,0.12,10,2007
LEGO Indiana Jones 2: The Adventure Continues,Adventure,Wii,LucasArts,1.41,0.9,0.38,0.0,0.13,11,2009
LEGO Indiana Jones: The Original Adventures,Adventure,PS2,LucasArts,1.37,0.6,0.01,0.0,0.76,6,2008
LEGO Harry Potter: Years 1-4,Adventure,PS3,Warner Bros. Interactive,1.37,0.55,0.61,0.0,0.21,6,2010
Disney Princess: Enchanted Journey,Adventure,Wii,Disney Interactive Studios,1.35,1.22,0.03,0.0,0.1,10,2007
The ICO & Shadow of the Colossus Collection,Adventure,PS3,Sony Computer Entertainment,1.34,0.67,0.36,0.13,0.18,9,2011
Grand Theft Auto: Chinatown Wars,Adventure,DS,Rockstar Games,1.33,0.58,0.56,0.05,0.14,3,2009
Rugrats Studio Tour,Adventure,PS,THQ,1.31,0.57,0.67,0.0,0.07,11,1999
LEGO Batman: The Videogame,Adventure,PS3,Warner Bros. Interactive,1.31,0.72,0.39,0.0,0.19,9,2008
LEGO Batman: The Videogame,Adventure,PSP,Warner Bros. Interactive,1.3,0.57,0.46,0.0,0.27,9,2008
LEGO Batman: The Videogame,Adventure,PS2,Warner Bros. Interactive,1.27,0.72,0.03,0.0,0.52,9,2008
Tomb Raider: Underworld,Adventure,PS3,Eidos Interactive,1.26,0.45,0.55,0.05,0.21,11,2008
Parfait: Chocolat Second Style,Adventure,PS2,Alchemist,1.22,0.59,0.46,0.01,0.15,6,2006
Minecraft: Story Mode,Adventure,X360,Mojang,1.2,0.67,0.42,0.0,0.11,10,2015
Scarface: The World is Yours,Adventure,PS2,Sierra Entertainment,1.19,0.99,0.04,0.0,0.16,10,2006
LEGO Indiana Jones 2: The Adventure Continues,Adventure,DS,LucasArts,1.19,0.65,0.43,0.0,0.12,11,2009
Metal Gear Solid VR Missions,Adventure,PS,Konami,1.18,0.66,0.45,0.0,0.08,9,1999
LEGO Indiana Jones: The Original Adventures,Adventure,PSP,LucasArts,1.18,0.4,0.49,0.0,0.3,6,2008
Shadow of the Colossus,Adventure,PS2,Sony Computer Entertainment,1.14,0.78,0.03,0.2,0.13,10,2005
Grand Theft Auto: The Trilogy,Adventure,PS2,Rockstar Games,1.14,0.0,0.51,0.0,0.62,11,2005
Rabbids Go Home,Adventure,Wii,Ubisoft,1.13,0.25,0.74,0.0,0.14,11,2009
Alien: Isolation,Adventure,PS4,Sega,1.09,0.29,0.59,0.05,0.16,10,2014
Grand Theft Auto: Chinatown Wars,Adventure,PSP,Rockstar Games,1.08,0.28,0.5,0.03,0.27,10,2009
Prince of Persia,Adventure,PS3,Ubisoft,1.07,0.47,0.41,0.03,0.17,12,2008
MySims Agents,Adventure,DS,Electronic Arts,1.07,0.54,0.42,0.0,0.11,9,2009
Tomb Raider: Underworld,Adventure,X360,Eidos Interactive,1.07,0.53,0.42,0.01,0.11,11,2008
Endless Ocean,Adventure,Wii,Nintendo,1.06,0.43,0.46,0.09,0.09,1,2008
MySims Agents,Adventure,Wii,Electronic Arts,1.05,0.63,0.32,0.0,0.1,9,2009
Legacy of Kain: Soul Reaver,Adventure,PS,Eidos Interactive,1.04,0.58,0.4,0.0,0.07,8,1999
LEGO Indiana Jones: The Original Adventures,Adventure,PS3,LucasArts,1.03,0.44,0.43,0.0,0.17,6,2008
Disney Fairies: Tinker Bell and the Lost Treasure,Adventure,DS,Disney Interactive Studios,1.03,0.57,0.35,0.02,0.1,10,2009
LEGO Indiana Jones 2: The Adventure Continues,Adventure,X360,LucasArts,1.02,0.62,0.31,0.0,0.09,11,2009
Harry Potter and the Prisoner of Azkaban,Adventure,PS2,Electronic Arts,1.02,0.5,0.39,0.0,0.13,6,2004
Prince of Persia,Adventure,X360,Ubisoft,1.01,0.54,0.34,0.02,0.1,12,2008
Apollo Justice: Ace Attorney,Adventure,DS,Capcom,0.99,0.28,0.05,0.64,0.03,2,2008
Gangs of London,Adventure,PSP,Sony Computer Entertainment,0.96,0.3,0.43,0.0,0.22,10,2006
Scooby-Doo! First Frights,Adventure,Wii,Warner Bros. Interactive,0.96,0.84,0.04,0.0,0.07,9,2009
Tom Clancy's Splinter Cell: Chaos Theory,Adventure,PS2,Ubisoft,0.95,0.36,0.45,0.0,0.14,3,2005
Destroy All Humans!,Adventure,PS2,THQ,0.94,0.78,0.03,0.0,0.13,6,2005
Prince of Persia: The Sands of Time,Adventure,XB,Ubisoft,0.94,0.57,0.33,0.0,0.04,11,2003
Monster High: Ghoul Spirit,Adventure,DS,THQ,0.93,0.69,0.16,0.0,0.07,10,2011
Phoenix Wright: Ace Attorney,Adventure,DS,Capcom,0.93,0.44,0.05,0.39,0.05,10,2005
Assassin's Creed,Adventure,PC,Ubisoft,0.91,0.01,0.84,0.0,0.06,4,2008
LEGO Indiana Jones 2: The Adventure Continues,Adventure,PS3,LucasArts,0.9,0.47,0.3,0.0,0.13,11,2009
Minecraft: Story Mode,Adventure,PS3,Mojang,0.89,0.32,0.43,0.0,0.15,10,2015
Classic NES Series: The Legend of Zelda,Adventure,GBA,Nintendo,0.89,0.46,0.17,0.24,0.02,6,2004
CSI: Hard Evidence,Adventure,Wii,Ubisoft,0.89,0.36,0.43,0.0,0.1,1,2008
Minecraft: Story Mode,Adventure,PS4,Mojang,0.87,0.31,0.42,0.0,0.14,10,2015
Harry Potter and the Order of the Phoenix,Adventure,DS,Electronic Arts,0.84,0.28,0.46,0.0,0.1,6,2007
Metroid: Zero Mission,Adventure,GBA,Nintendo,0.84,0.6,0.22,0.0,0.01,2,2004
Scooby-Doo! First Frights,Adventure,DS,Warner Bros. Interactive,0.83,0.6,0.16,0.0,0.07,9,2009
Mega Man Legends,Adventure,PS,Capcom,0.83,0.39,0.26,0.12,0.05,8,1998
MediEvil,Adventure,PS,Sony Computer Entertainment,0.83,0.46,0.31,0.0,0.05,10,1998
Casper,Adventure,PS,Interplay,0.83,0.46,0.31,0.0,0.05,9,1996
MediEvil: Resurrection,Adventure,PSP,Sony Computer Entertainment,0.82,0.19,0.42,0.0,0.22,9,2005
The Walking Dead: A Telltale Games Series,Adventure,PS3,Telltale Games,0.82,0.4,0.25,0.03,0.14,11,2012
Professor Layton vs Ace Attorney,Adventure,3DS,Nintendo,0.82,0.2,0.27,0.3,0.04,8,2014
Kamaitachi no Yoru,Adventure,SNES,ChunSoft,0.81,0.0,0.0,0.81,0.0,11,1994
The Legend of Zelda: Four Swords Adventures,Adventure,GC,Nintendo,0.81,0.63,0.16,0.0,0.02,6,2004
Prince of Persia: Warrior Within,Adventure,XB,Ubisoft,0.8,0.48,0.28,0.0,0.04,11,2004
The Godfather II,Adventure,X360,Electronic Arts,0.79,0.47,0.23,0.01,0.08,4,2009
Drawn to Life,Adventure,DS,THQ,0.78,0.71,0.01,0.0,0.06,9,2007
Minecraft: Story Mode,Adventure,XOne,Mojang,0.77,0.46,0.24,0.0,0.07,10,2015
That's So Raven,Adventure,GBA,Buena Vista,0.76,0.54,0.2,0.0,0.01,10,2004
The Walking Dead: A Telltale Games Series,Adventure,X360,Telltale Games,0.76,0.55,0.13,0.0,0.07,11,2012
Raving Rabbids: Travel in Time,Adventure,Wii,Ubisoft,0.75,0.21,0.46,0.0,0.08,11,2010
The Godfather II,Adventure,PS3,Electronic Arts,0.74,0.41,0.21,0.01,0.1,4,2009
iCarly,Adventure,DS,Activision,0.73,0.67,0.01,0.0,0.05,10,2009
My Little Pony: Pinkie Pie's Party,Adventure,DS,THQ,0.73,0.67,0.0,0.0,0.06,9,2008
LEGO Harry Potter: Years 1-4,Adventure,PSP,Warner Bros. Interactive,0.71,0.14,0.38,0.0,0.19,6,2010
Ace Attorney Investigations: Miles Edgeworth,Adventure,DS,Capcom,0.7,0.23,0.14,0.3,0.04,2,2010
Hannah Montana: The Movie,Adventure,DS,Disney Interactive Studios,0.7,0.38,0.25,0.0,0.07,4,2009
Classic NES Series: Zelda II: The Adventure of Link,Adventure,GBA,Nintendo,0.7,0.37,0.14,0.17,0.01,10,2004
Harry Potter and the Chamber of Secrets,Adventure,GC,Electronic Arts,0.69,0.53,0.14,0.0,0.02,11,2002
Prince of Persia: The Two Thrones,Adventure,PS2,Ubisoft,0.68,0.57,0.02,0.0,0.09,12,2005
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Adventure,GBA,Buena Vista,0.67,0.48,0.18,0.0,0.01,11,2005
Hidden Objects: Mystery Stories,Adventure,DS,Navarre Corp,0.66,0.18,0.43,0.0,0.05,7,2010
Strawberry Shortcake: Summertime Adventure,Adventure,GBA,Majesco,0.66,0.47,0.18,0.0,0.01,11,2004
Club Penguin: Elite Penguin Force - Herbert's Revenge,Adventure,DS,Disney Interactive Studios,0.66,0.39,0.21,0.0,0.06,5,2010
Harry Potter and the Goblet of Fire,Adventure,PS2,Electronic Arts,0.65,0.54,0.02,0.0,0.09,11,2005
Yakuza Zero,Adventure,PS4,Sega,0.65,0.22,0.16,0.19,0.08,1,2017
Drawn to Life: The Next Chapter,Adventure,DS,THQ,0.65,0.44,0.14,0.0,0.06,10,2009
Up,Adventure,DS,THQ,0.64,0.3,0.27,0.0,0.07,5,2009
Condemned 2: Bloodshot,Adventure,X360,Sega,0.63,0.38,0.19,0.0,0.06,3,2008
Bolt,Adventure,DS,Disney Interactive Studios,0.62,0.35,0.21,0.0,0.06,11,2008
Tomb Raider III: Adventures of Lara Croft,Adventure,PC,Eidos Interactive,0.62,0.59,0.03,0.0,0.0,11,1998
Phoenix Wright: Ace Attorney - Trials and Tribulations,Adventure,DS,Capcom,0.62,0.3,0.03,0.25,0.03,10,2007
SpongeBob's Atlantis SquarePantis,Adventure,Wii,THQ,0.62,0.56,0.0,0.0,0.05,11,2007
Small Soldiers,Adventure,PS,Electronic Arts,0.61,0.34,0.23,0.0,0.04,9,1998
Harry Potter and the Goblet of Fire,Adventure,GBA,Electronic Arts,0.61,0.44,0.16,0.0,0.01,11,2005
L.A. Noire,Adventure,PS4,Rockstar Games,0.6,0.18,0.32,0.0,0.1,11,2017
The Golden Compass,Adventure,DS,Sega,0.6,0.28,0.25,0.0,0.06,12,2007
The Golden Compass,Adventure,Wii,Sega,0.6,0.26,0.28,0.0,0.07,12,2007
Xena: Warrior Princess,Adventure,PS,Electronic Arts,0.6,0.33,0.23,0.0,0.04,9,1999
LEGO Indiana Jones 2: The Adventure Continues,Adventure,PSP,LucasArts,0.59,0.21,0.24,0.0,0.14,11,2009
Silent Hill: Shattered Memories,Adventure,PS2,Konami,0.59,0.13,0.22,0.01,0.23,1,2010
Hidden Agenda,Adventure,PS4,Sony Interactive Entertainment,0.59,0.08,0.42,0.0,0.09,10,2017
Alice: Madness Returns,Adventure,PS3,Electronic Arts,0.59,0.22,0.24,0.04,0.08,6,2011
Prince of Persia: The Two Thrones,Adventure,XB,Ubisoft,0.58,0.33,0.22,0.0,0.03,12,2005
Shrek 2: Beg for Mercy,Adventure,GBA,Activision,0.58,0.42,0.15,0.0,0.01,10,2004
Up,Adventure,Wii,THQ,0.57,0.22,0.29,0.0,0.06,5,2009
Bratz 4 Real,Adventure,DS,THQ,0.57,0.29,0.22,0.0,0.06,11,2007
Bolt,Adventure,Wii,Disney Interactive Studios,0.56,0.19,0.31,0.0,0.06,11,2008
Dr. Seuss' The Cat in the Hat,Adventure,PS2,VU Games,0.56,0.27,0.21,0.0,0.07,11,2003
Soul Reaver 2,Adventure,PS2,Eidos Interactive,0.55,0.27,0.21,0.0,0.07,10,2001
Sakura Wars,Adventure,SAT,Sega,0.55,0.0,0.0,0.55,0.0,9,1996
Batman: Vengeance,Adventure,PS2,Ubisoft,0.55,0.27,0.21,0.0,0.07,10,2001
Hotel Dusk: Room 215,Adventure,DS,Nintendo,0.54,0.26,0.04,0.22,0.03,1,2007
Monster High: Ghoul Spirit,Adventure,Wii,THQ,0.54,0.42,0.08,0.0,0.04,10,2011
The Hobbit,Adventure,PS2,Sierra Entertainment,0.54,0.26,0.2,0.0,0.07,11,2003
"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare",Adventure,SAT,Sega,0.53,0.0,0.0,0.53,0.0,4,1998
Clock Tower,Adventure,PS,ASCII Entertainment,0.53,0.07,0.05,0.38,0.03,9,1997
Legacy of Kain: Defiance,Adventure,PS2,Eidos Interactive,0.53,0.26,0.2,0.0,0.07,11,2003
Phoenix Wright: Ace Attorney - Justice for All,Adventure,DS,Capcom,0.53,0.21,0.04,0.26,0.03,1,2007
The Grinch,Adventure,PS,Konami,0.52,0.29,0.2,0.0,0.03,1,2000
The Golden Compass,Adventure,PS2,Sega,0.52,0.13,0.0,0.0,0.39,12,2007
Alien: Isolation,Adventure,XOne,Sega,0.52,0.23,0.25,0.0,0.04,10,2014
That's So Raven 2: Supernatural Style,Adventure,GBA,Buena Vista,0.52,0.37,0.14,0.0,0.01,8,2005
Harry Potter and the Prisoner of Azkaban,Adventure,GBA,Electronic Arts,0.52,0.37,0.14,0.0,0.01,5,2004
Alice in Wonderland,Adventure,Wii,Disney Interactive Studios,0.51,0.25,0.21,0.0,0.05,3,2010
Silent Hill 4: The Room,Adventure,PS2,Konami,0.51,0.25,0.19,0.0,0.06,9,2004
Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,Adventure,DS,Activision,0.51,0.12,0.33,0.0,0.06,11,2009
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,Adventure,GBA,THQ,0.5,0.36,0.13,0.0,0.01,9,2004
Rooms: The Main Building,Adventure,DS,Hudson Soft,0.5,0.1,0.35,0.01,0.05,3,2010
Avatar: The Last Airbender,Adventure,GC,THQ,0.5,0.39,0.1,0.0,0.01,10,2006
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,Adventure,PS2,THQ,0.5,0.24,0.19,0.0,0.06,9,2004
Alice: Madness Returns,Adventure,X360,Electronic Arts,0.5,0.27,0.15,0.04,0.04,6,2011
Scarface: The World is Yours,Adventure,XB,Sierra Entertainment,0.49,0.37,0.11,0.0,0.02,10,2006
Alone in the Dark,Adventure,X360,Atari,0.49,0.14,0.3,0.0,0.05,6,2008
Ultimate I Spy,Adventure,Wii,Scholastic Inc.,0.48,0.45,0.0,0.0,0.03,10,2008
The Legend of the Mystical Ninja,Adventure,SNES,Konami,0.48,0.0,0.0,0.48,0.0,2,1992
Destroy All Humans! 2,Adventure,PS2,THQ,0.48,0.4,0.02,0.0,0.07,10,2006
The Walking Dead: A Telltale Games Series,Adventure,PS4,Telltale Games,0.48,0.12,0.26,0.03,0.07,10,2014
Alice in Wonderland,Adventure,DS,Disney Interactive Studios,0.48,0.25,0.18,0.0,0.05,3,2010
Up,Adventure,PS2,THQ,0.48,0.19,0.05,0.0,0.24,5,2009
Luigi's Mansion,Adventure,3DS,Nintendo,0.47,0.19,0.16,0.09,0.03,10,2018
ICO,Adventure,PS2,Sony Computer Entertainment,0.47,0.23,0.18,0.0,0.06,9,2001
Silent Hill: Downpour,Adventure,PS3,Konami,0.47,0.21,0.16,0.04,0.06,3,2012
Jake Power: Fireman,Adventure,DS,Ubisoft,0.47,0.08,0.34,0.0,0.05,2,2009
Silent Hill: Shattered Memories,Adventure,Wii,Konami,0.47,0.22,0.19,0.01,0.05,12,2009
Detective Pikachu,Adventure,3DS,Nintendo,0.47,0.15,0.17,0.12,0.03,3,2018
Pirates of the Caribbean: Dead Man's Chest,Adventure,GBA,Buena Vista,0.47,0.33,0.12,0.0,0.01,6,2006
Metal Gear Solid: The Essential Collection,Adventure,PS2,Konami,0.46,0.23,0.18,0.0,0.06,3,2008
Harry Potter and the Order of the Phoenix,Adventure,Wii,Electronic Arts,0.46,0.38,0.05,0.0,0.04,6,2007
Destroy All Humans!,Adventure,XB,THQ,0.46,0.34,0.11,0.0,0.02,6,2005
Minecraft: Story Mode - The Complete Adventure,Adventure,NS,Telltale Games,0.46,0.27,0.15,0.0,0.04,8,2017
The Golden Compass,Adventure,X360,Sega,0.46,0.3,0.12,0.0,0.04,12,2007
Tomb Raider: Underworld,Adventure,Wii,Eidos Interactive,0.45,0.13,0.27,0.0,0.05,11,2008
iCarly,Adventure,Wii,Activision,0.45,0.42,0.0,0.0,0.03,10,2009
American Girl: Kit Mystery Challenge!,Adventure,DS,THQ,0.45,0.42,0.0,0.0,0.03,6,2008
Barbie as The Island Princess,Adventure,Wii,Activision,0.45,0.42,0.0,0.0,0.03,10,2007
L.A. Noire,Adventure,NS,Rockstar Games,0.45,0.21,0.21,0.0,0.04,11,2017
Yakuza Kiwami,Adventure,PS4,Sega,0.45,0.13,0.07,0.21,0.04,8,2017
Sphinx and the Cursed Mummy,Adventure,PS2,THQ,0.45,0.22,0.17,0.0,0.06,11,2003
Scooby-Doo! Mystery Mayhem,Adventure,PS2,THQ,0.45,0.22,0.17,0.0,0.06,3,2004
The Thing,Adventure,PS2,VU Games,0.44,0.22,0.17,0.0,0.06,8,2002
Neon Genesis Evangelion,Adventure,SAT,Sega,0.44,0.0,0.0,0.44,0.0,3,1996
SpongeBob's Atlantis SquarePantis,Adventure,PS2,THQ,0.44,0.36,0.01,0.0,0.06,10,2007
Classic NES Series: Metroid,Adventure,GBA,Nintendo,0.43,0.26,0.1,0.07,0.01,10,2004
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Adventure,PS2,Buena Vista,0.43,0.36,0.01,0.0,0.06,11,2005
OkamiDen,Adventure,DS,Capcom,0.43,0.21,0.07,0.13,0.02,3,2011
Dog's Life,Adventure,PS2,Hip Interactive,0.42,0.21,0.16,0.0,0.05,9,2004
The X Files,Adventure,PS,Fox Interactive,0.42,0.24,0.16,0.0,0.03,9,1999
Harry Potter and the Goblet of Fire,Adventure,GC,Electronic Arts,0.42,0.32,0.08,0.0,0.01,11,2005
Zack & Wiki: Quest for Barbaros' Treasure,Adventure,Wii,Capcom,0.42,0.18,0.16,0.03,0.04,10,2007
Mega Man Legends 2,Adventure,PS,Capcom,0.42,0.17,0.12,0.1,0.03,10,2000
The Smurfs,Adventure,DS,Ubisoft,0.41,0.23,0.14,0.0,0.04,7,2011
Dexter's Laboratory Deesaster Strikes,Adventure,GBA,BAM! Entertainment,0.41,0.3,0.11,0.0,0.01,9,2001
Scooby-Doo and the Cyber Chase,Adventure,GBA,THQ,0.41,0.3,0.11,0.0,0.01,12,2001
Marvel Super Hero Squad,Adventure,DS,THQ,0.41,0.36,0.02,0.0,0.03,10,2009
E0: Enemy Zero,Adventure,SAT,Sega,0.41,0.0,0.0,0.41,0.0,10,1997
JumpStart: Escape from Adventure Island,Adventure,Wii,Knowledge Adventure,0.41,0.38,0.0,0.0,0.03,11,2009
Nicktoons: Unite!,Adventure,PS2,THQ,0.41,0.34,0.01,0.0,0.06,10,2005
Boku no Natsuyasumi 2: Umi no Bouken Hen,Adventure,PS2,Sony Computer Entertainment,0.41,0.0,0.0,0.41,0.0,7,2002
James Patterson Women's Murder Club: Games of Passion,Adventure,DS,THQ,0.41,0.15,0.22,0.0,0.05,9,2009
Up,Adventure,PSP,THQ,0.41,0.24,0.09,0.0,0.07,5,2009
Overlord,Adventure,X360,Codemasters,0.4,0.34,0.03,0.01,0.03,6,2007
The Chronicles of Narnia: Prince Caspian,Adventure,PS2,Disney Interactive Studios,0.4,0.2,0.15,0.0,0.05,5,2008
Boku no Natsuyasumi,Adventure,PS,Sony Computer Entertainment,0.4,0.0,0.0,0.37,0.03,6,2000
Sherlock Holmes: The Mystery of the Mummy,Adventure,DS,Focus Home Interactive,0.4,0.06,0.3,0.0,0.04,7,2009
Final Fantasy Crystal Chronicles: The Crystal Bearers,Adventure,Wii,Square Enix,0.39,0.21,0.08,0.08,0.03,12,2009
Chibi-Robo! Plug into Adventure!,Adventure,GC,Nintendo,0.39,0.23,0.06,0.09,0.01,2,2006
SpongeBob vs The Big One: Beach Party Cook Off,Adventure,DS,THQ,0.39,0.24,0.11,0.0,0.04,3,2009
Ghost Trick: Phantom Detective,Adventure,DS,Capcom,0.38,0.17,0.08,0.12,0.02,1,2011
Final Fantasy Adventure,Adventure,GB,Square,0.38,0.0,0.0,0.38,0.0,11,1991
MediEvil II,Adventure,PS,Sony Computer Entertainment,0.38,0.21,0.14,0.0,0.02,4,2000
Pokémon Channel,Adventure,GC,Nintendo,0.38,0.24,0.06,0.07,0.01,12,2003
The Dog Island,Adventure,Wii,Ubisoft,0.38,0.34,0.01,0.0,0.03,5,2008
Harry Potter and the Prisoner of Azkaban,Adventure,GC,Electronic Arts,0.38,0.29,0.08,0.0,0.01,6,2004
The Golden Compass,Adventure,PSP,Sega,0.37,0.11,0.16,0.0,0.1,12,2007
Petz Rescue: Ocean Patrol,Adventure,DS,Ubisoft,0.37,0.35,0.0,0.0,0.03,10,2008
Life is Strange,Adventure,PS4,Square Enix,0.37,0.11,0.16,0.05,0.05,1,2016
Yarudora Series Vol.1: Double Cast,Adventure,PS,Sony Computer Entertainment,0.37,0.0,0.0,0.35,0.02,6,1998
Overlord: Dark Legend,Adventure,Wii,Codemasters,0.37,0.11,0.22,0.0,0.04,6,2009
Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,Adventure,GBA,Square Enix,0.37,0.0,0.0,0.36,0.01,11,2003
Harry Potter and the Order of the Phoenix,Adventure,PSP,Electronic Arts,0.37,0.1,0.17,0.0,0.1,6,2007
Rise of the Tomb Raider,Adventure,X360,Square Enix,0.37,0.21,0.12,0.0,0.03,11,2015
"999: Nine Hours, Nine Persons, Nine Doors",Adventure,DS,Aksys Games,0.37,0.31,0.0,0.03,0.02,11,2010
Nonomura Byoin no Hitobito,Adventure,SAT,Elf,0.36,0.0,0.0,0.36,0.0,4,1996
Kamaitachi no Yoru 2,Adventure,PS2,ChunSoft,0.36,0.0,0.0,0.36,0.0,7,2002
Robots,Adventure,PS2,VU Games,0.36,0.18,0.14,0.0,0.05,2,2005
Marvel Super Hero Squad,Adventure,Wii,THQ,0.36,0.3,0.03,0.0,0.03,10,2009
The Chronicles of Narnia: Prince Caspian,Adventure,Wii,Disney Interactive Studios,0.36,0.31,0.02,0.0,0.03,5,2008
Harry Potter and the Chamber of Secrets,Adventure,XB,Electronic Arts,0.36,0.27,0.08,0.0,0.01,11,2002
Wonder Pets! Save the Animals!,Adventure,DS,2K Play,0.36,0.33,0.0,0.0,0.02,10,2008
Nicktoons: Unite!,Adventure,GC,THQ,0.35,0.27,0.07,0.0,0.01,10,2005
CSI: Deadly Intent - The Hidden Cases,Adventure,DS,Ubisoft,0.35,0.16,0.16,0.0,0.04,10,2009
Hannah Montana: The Movie,Adventure,Wii,Disney Interactive Studios,0.35,0.13,0.18,0.0,0.04,4,2009
Charlie and the Chocolate Factory,Adventure,PS2,Global Star Software,0.35,0.17,0.13,0.0,0.04,7,2005
Danganronpa: Trigger Happy Havoc,Adventure,PSV,NIS America,0.34,0.09,0.06,0.15,0.05,2,2014
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,Adventure,PS2,Buena Vista,0.34,0.17,0.13,0.0,0.04,10,2005
Leisure Suit Larry: Magna Cum Laude,Adventure,PS2,VU Games,0.34,0.17,0.13,0.0,0.04,10,2004
Beyond Good & Evil,Adventure,PS2,Ubisoft,0.33,0.16,0.13,0.0,0.04,11,2003
Mystery Case Files: The Malgrave Incident,Adventure,Wii,Nintendo,0.33,0.17,0.13,0.0,0.03,6,2011
Avatar: The Last Airbender,Adventure,DS,THQ,0.33,0.3,0.01,0.0,0.02,10,2006
Alien: Isolation,Adventure,PS3,Sega,0.33,0.12,0.16,0.0,0.05,10,2014
Scooby-Doo! First Frights,Adventure,PS2,Warner Bros. Interactive,0.33,0.14,0.03,0.0,0.16,9,2009
Clock Tower 3,Adventure,PS2,Capcom,0.33,0.1,0.08,0.12,0.03,3,2003
